City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Kairouan,Terrain habitation ind. en vente,,248 000 DT,576 m²,"Kairouan, Afh 5",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/48922.html,,,3
Kairouan,Terrain habitation ind. en vente,,150 750 DT,335 m²,"Kairouan, Lotissement militaire",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52563.html,,,3
Kairouan,Terrain habitation ind. en vente,,330 000 DT,558 m²,"Kairouan, Rue Kairouan",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52681.html,,,3
Kairouan,Terrain habitation ind. en vente,,105 000 DT,251 m²,"Kairouan, Rue Afh 2-6",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52797.html,,,3
Kairouan,Terrain habitation ind. en vente,,90 000 DT,240 m²,"Kairouan, Sahbi 5",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52700.html,,,3
Kairouan,Terrain habitation ind. en vente,,80 000 DT,784 m²,"Kairouan, Route de ceinture",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/47600.html,,,3
Kairouan,Terrain agricole en vente,,160 000 DT,1500 m²,"Kairouan, Route raggada",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/51086.html,,,3
Kairouan,Terrain habitation ind. en vente,,177 500 DT,355 m²,"Kairouan, Lotissement militaire",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/49258.html,,,3
Kairouan,Terrain agricole en vente,,360 000 DT,3038 m²,"Kairouan, Route baten",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/50774.html,,,3
Kairouan,Terrain habitation ind. en vente,,270 000 DT,540 m²,"Kairouan, Rue Afh1",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52173.html,,,3
Kairouan,Terrain habitation ind. en vente,,250 000 DT,454 m²,"Kairouan, Rue Afh5",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52145.html,,,3
Kairouan,Terrain habitation ind. en vente,,80 000 DT,784 m²,"Kairouan, Route  de ceinture",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/47196.html,,,3
Kairouan,Terrain agricole en vente,,85 000 DT,367 m²,"Kairouan, Rote raccada",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/44352.html,,,3
Kairouan,Terrain habitation ind. en vente,,280 000 DT,572 m²,"Kairouan, Rue haffouz cité arousi [5], 3100 KAIROUAN (ka)",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/55493.html,,,4
Kairouan,Terrain habitation collective en vente,,76 380 DT,402 m²,"Kairouan, Route Kairouan Sousse",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/55606.html,,,4
Kairouan,Terrain habitation ind. en vente,,248 000 DT,576 m²,"Kairouan, Afh 5",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/48922.html,,,4
Kairouan,Terrain habitation ind. en vente,,150 750 DT,335 m²,"Kairouan, Lotissement militaire",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52563.html,,,4
Kairouan,Terrain habitation ind. en vente,,330 000 DT,558 m²,"Kairouan, Rue Kairouan",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52681.html,,,4
Kairouan,Terrain habitation ind. en vente,,105 000 DT,251 m²,"Kairouan, Rue Afh 2-6",https://www.tecnocasa.tn/vendre/terrain/kairouan/kairouan/52797.html,,,4
