City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page,price_per_m2
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,8,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,8,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,9,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,9,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,9,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,9,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,9,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,9,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,9,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,9,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,10,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,10,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,10,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,10,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,10,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,10,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,10,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,10,426.17960426179604
Sfax,Terrain habitation ind. en vente,,430000,1051,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/52338.html,,,11,409.1341579448145
Sfax,Terrain habitation ind. en vente,,340000,649,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/54104.html,,,11,523.8828967642527
Sfax,Terrain habitation ind. en vente,,240000,608,Sfax - Bouzayen,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50597.html,,,11,394.7368421052632
Sfax,Terrain habitation ind. en vente,,280000,778,Sfax - Route Ain,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/53005.html,,,11,359.8971722365039
Sfax,Terrain habitation ind. en vente,,235000,525,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/49347.html,,,11,447.6190476190476
Sfax,Terrain habitation ind. en vente,,445000,1360,Sfax - Route Lafrane,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/48778.html,,,11,327.20588235294116
Sfax,Terrain habitation collective en vente,,330000,330,Sfax - Route Teniour,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50452.html,,,11,1000.0
Sfax,Terrain habitation ind. en vente,,280000,657,Sfax - Route Gremda,https://www.tecnocasa.tn/vendre/terrain/sfax/sfax/50049.html,,,11,426.17960426179604
