City,Title,Price,Surface,Location,URL,price_per_m2
Grand Tunis,Terrain agricole en vente,20000000.0,10000,"Mornag, Djbal Rsas",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mornag/53034.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,812000.0,406,"Le Bardo, Rue 61495 - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/50691.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1132000.0,566,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/52778.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1066000.0,533,El Menzah - Menzah 9,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/el-menzah/51434.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,856000.0,428,"Le Bardo, 41 rue abderahmen ben jedou - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/50600.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1332000.0,666,La Soukra - Soukra,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/51469.html,2000.0
Grand Tunis,Terrain agricole en vente,20000000.0,10000,Mornag,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mornag/50332.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1222000.0,611,"La Soukra, Rue ibn neji la soukra - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/51525.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,3936000.0,1968,La Marsa - Cité Bhar Lazreg,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/51904.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1102000.0,551,La Marsa - Cité Bhar Lazreg,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/51560.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,616000.0,308,"La Manouba, Cité les oranges - Manouba",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-manouba/50747.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1070000.0,535,"Le Bardo, Rue  de la carte - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/50107.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,612000.0,306,"La Manouba, Les jardins de tunis - Manouba",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-manouba/47487.html,2000.0
Grand Tunis,Terrain habitation collective en vente,714000.0,357,Ariana - Ariana Ville,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/46625.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,702000.0,351,"Ariana, Nour jaafer - Nour Jaafer",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/47833.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1860000.0,930,Mutuelleville - Cité Des Jardins,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mutuelleville/49283.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,950000.0,475,El Omrane,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/el-omrane/51210.html,2000.0
Grand Tunis,Terrain habitation collective en vente,774000.0,387,Gammarth,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/51121.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,808000.0,404,La Marsa,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-marsa/50732.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1590000.0,795,Mégrine - Megrine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/megrine/49860.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1044000.0,522,Mégrine - Megrine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/megrine/50253.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1912000.0,956,"Ain Zaghouan, Rue kronfol - Ain Zaghouane",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ain-zaghouan/45586.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,5998000.0,2999,"Ezzahra, Terrain Habitation Collective Ezzahra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ezzahra/46867.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,740000.0,370,Jardins d'El Menzah - Jardins D'El Menzah 1,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/jardins-d-el-menzah/44154.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1002000.0,501,Ariana - Riadh Landalous,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/ariana/46156.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,710000.0,355,Mutuelleville - Cité Des Jardins,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mutuelleville/49493.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,698000.0,349,Manar - Manar 1,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/manar/47042.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,2032000.0,1016,"La Soukra, Chotrana 2 13 aout - Chotrana",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/49093.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1248000.0,624,Gammarth - Gammarth Village,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/49256.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1108000.0,554,"Le Bardo, Rue de major Lazhar kthiri - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/49084.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,862000.0,431,Manar - Manar 1,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/manar/46649.html,2000.0
Grand Tunis,Terrain habitation collective en vente,1800000.0,900,"Aouina, Rue De Syrie",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/aouina/48172.html,2000.0
Grand Tunis,Terrain habitation collective en vente,4000000.0,2000,"Aouina, Rue Sidi Zid",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/aouina/46465.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1526000.0,763,"La Soukra, Rue syrie - Soukra",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/48173.html,2000.0
Grand Tunis,Terrain habitation collective en vente,5524000.0,2762,"Aouina, Rue Sidi Zid",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/aouina/46470.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,2414000.0,1207,El Menzah - Menzah 5,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/el-menzah/48191.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1372000.0,686,Gammarth,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/gammarth/47466.html,2000.0
Grand Tunis,Terrain habitation collective en vente,2178000.0,1089,"Le Bardo, Rue de pologne - Bardo",https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/47218.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,770000.0,385,Mégrine - Megrine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/megrine/43954.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,680000.0,340,Mornag,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/mornag/46459.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,522000.0,261,Bou Mhel El-Bassatine - Boumhal El Basatine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/bou-mhel-el-bassatine/28603.html,2000.0
Grand Tunis,Terrain habitation collective en vente,12404000.0,6202,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/44230.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1986000.0,993,La Soukra - Chotrana,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/la-soukra/44771.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,902000.0,451,Bou Mhel El-Bassatine - Boumhal El Basatine,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/bou-mhel-el-bassatine/34195.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,770000.0,385,Manar - Manar 1,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/manar/39933.html,2000.0
Grand Tunis,Terrain habitation ind. en vente,1016000.0,508,Le Bardo - Bardo,https://www.tecnocasa.tn/vendre/terrain/grand-tunis/le-bardo/34732.html,2000.0
